,2222.SR,2222.SR,2222.SR,2222.SR,2222.SR,2222.SR,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,2222.SR,2222.SR,2222.SR,2222.SR
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,SMA20,SD20,BollHIGH,BollLOW,SMA20,SD20,BollHIGH,BollLOW
Date,,,,,,,,,,,,,,,,,,,,
2022-02-18,,,,,,,169.82000732421875,170.5399932861328,166.19000244140625,167.3000030517578,165.83901977539062,82772700.0,169.75449981689454,5.54579581219747,180.84609144128947,158.6629081924996,,,,
2022-02-17,31.198347091674805,31.32231330871582,30.991735458374023,31.198347091674805,29.690462112426758,11625549.0,171.02999877929688,171.91000366210938,168.47000122070312,168.8800048828125,167.40521240234375,69589300.0,169.5099998474121,5.763234825015701,181.0364694974435,157.9835301973807,30.632231044769288,0.30809248920244087,31.24841602317417,30.016046066364407
2022-02-16,30.826446533203125,31.198347091674805,30.74380111694336,31.198347091674805,29.690462112426758,10062856.0,171.85000610351562,173.33999633789062,170.0500030517578,172.5500030517578,171.04315185546875,61177400.0,169.29149932861327,5.870223467158831,181.03194626293094,157.5510523942956,30.59504089355469,0.27974817553402404,31.154537244622738,30.03554454248664
2022-02-15,30.74380111694336,30.991735458374023,30.74380111694336,30.826446533203125,29.336538314819336,6960615.0,170.97000122070312,172.9499969482422,170.25,172.7899932861328,171.2810516357422,62527400.0,168.97549896240236,5.855671028516743,180.68684101943583,157.26415690536888,30.551652431488037,0.24658007691564468,31.044812585319328,30.058492277656747
2022-02-14,30.619834899902344,30.826446533203125,30.495866775512695,30.826446533203125,29.336538314819336,5031474.0,167.3699951171875,169.5800018310547,166.55999755859375,168.8800048828125,167.40521240234375,86185500.0,168.82599945068358,5.790969460959314,180.40793837260222,157.24406052876495,30.53099126815796,0.2395550825849653,31.01010143332789,30.051881102988027
2022-02-13,30.867767333984375,30.991735458374023,30.495866775512695,30.619834899902344,29.13991355895996,7390719.0,,,,,,,,,,,30.514462280273438,0.22928055461703933,30.973023389507517,30.05590117103936
2022-02-11,,,,,,,172.3300018310547,173.0800018310547,168.0399932861328,168.63999938964844,167.1673126220703,98670700.0,169.0354995727539,5.868300654580663,180.77210088191524,157.29889826359258,,,,
2022-02-10,30.57851219177246,30.909090042114258,30.537189483642578,30.826446533203125,29.336538314819336,4019989.0,174.13999938964844,175.47999572753906,171.5500030517578,172.1199951171875,170.61691284179688,90865900.0,169.2129997253418,5.909254297725731,181.03150832079325,157.39449112989035,30.502065563201903,0.22998498411590135,30.962035531433706,30.0420955949701
2022-02-09,30.785123825073242,30.785123825073242,30.537189483642578,30.702478408813477,29.218564987182617,2928391.0,176.0500030517578,176.64999389648438,174.89999389648438,176.27999877929688,174.74058532714844,71285000.0,169.38349990844728,6.045175933791246,181.47385177602976,157.2931480408648,30.47727212905884,0.21967194438980595,30.91661601783845,30.03792824027923
2022-02-08,30.619834899902344,31.033056259155273,30.619834899902344,30.785123825073242,29.297212600708008,6335674.0,171.72999572753906,175.35000610351562,171.42999267578125,174.8300018310547,173.30325317382812,74829200.0,169.32350006103516,5.9787136760525526,181.28092741314026,157.36607270893006,30.444214344024658,0.2333212362058626,30.910856816436382,29.977571871612934
2022-02-07,30.413223266601562,30.619834899902344,30.24793243408203,30.619834899902344,29.13991355895996,4843454.0,172.86000061035156,173.9499969482422,170.9499969482422,171.66000366210938,170.16091918945312,77251200.0,169.19150009155274,5.8790534571956385,180.94960700594402,157.43339317716146,30.392561435699463,0.26594689376558467,30.92445522323063,29.860667648168295
2022-02-06,30.1652889251709,30.454544067382812,30.1652889251709,30.413223266601562,28.943286895751953,3721232.0,,,,,,,,,,,30.334710121154785,0.3316369967842358,30.997984114723256,29.671436127586315
2022-02-04,,,,,,,171.67999267578125,174.10000610351562,170.67999267578125,172.38999938964844,170.88455200195312,82465400.0,169.21699981689454,5.891416850845261,180.99983351858506,157.43416611520402,,,,
2022-02-03,30.454544067382812,30.57851219177246,30.330577850341797,30.495866775512695,29.021934509277344,2341339.0,174.47999572753906,176.24000549316406,172.1199951171875,172.89999389648438,171.17202758789062,89418100.0,169.1974998474121,5.880998019725628,180.95949588686335,157.43550380796086,30.28925552368164,0.3791995226879945,31.047654569057627,29.53085647830565
2022-02-02,30.826446533203125,30.991735458374023,30.289255142211914,30.37190055847168,28.903961181640625,6386366.0,174.75,175.8800048828125,173.3300018310547,175.83999633789062,174.08262634277344,84914300.0,169.29850006103516,5.9646816672715275,181.2278633955782,157.36913672649212,30.2293381690979,0.43535244410467516,31.10004305730725,29.35863328088855
2022-02-01,30.95041275024414,30.991735458374023,30.661157608032227,30.785123825073242,29.297212600708008,4688510.0,174.00999450683594,174.83999633789062,172.30999755859375,174.61000061035156,172.8649444580078,86213900.0,169.49150009155272,6.2434222403923245,181.97834457233736,157.00465561076808,30.188015842437743,0.459652388961109,31.10732062035996,29.268711064515525
2022-01-31,30.702478408813477,30.991735458374023,30.702478408813477,30.867767333984375,29.3758602142334,7035574.0,170.16000366210938,175.0,169.50999450683594,174.77999877929688,173.03321838378906,115541600.0,169.86149978637695,6.760573642531804,183.38264707144057,156.34035250131333,30.11983404159546,0.467489272596125,31.054812586787712,29.18485549640321
